Year,Genre,Owners
2021,Short,0.0
2022,Short,0.0
2023,Short,0.0
2024,Short,0.0
2025,Short,0.0
1997,Simulation,0.0
1998,Simulation,0.0
1999,Simulation,0.0
2000,Simulation,0.0
2001,Simulation,0.0
2002,Simulation,0.0
2003,Simulation,0.0
2004,Simulation,0.0
2005,Simulation,0.0
2006,Simulation,35000000.0
2007,Simulation,300000.0
2008,Simulation,6955000.0
2009,Simulation,6580000.0
2010,Simulation,9630000.0
2011,Simulation,15605000.0
2012,Simulation,38420000.0
2013,Simulation,116595000.0
2014,Simulation,81130000.0
2015,Simulation,145590000.0
2016,Simulation,195705000.0
2017,Simulation,204655000.0
2018,Simulation,172130000.0
2019,Simulation,121960000.0
2020,Simulation,146245000.0
2021,Simulation,165655000.0
2022,Simulation,143620000.0
2023,Simulation,130080000.0
2024,Simulation,185510000.0
2025,Simulation,136345000.0
1997,Software Training,0.0
1998,Software Training,0.0
1999,Software Training,0.0
2000,Software Training,0.0
2001,Software Training,0.0
2002,Software Training,0.0
2003,Software Training,0.0
2004,Software Training,0.0
2005,Software Training,0.0
2006,Software Training,0.0
2007,Software Training,0.0
2008,Software Training,0.0
2009,Software Training,0.0
2010,Software Training,0.0
2011,Software Training,0.0
2012,Software Training,0.0
2013,Software Training,260000.0
2014,Software Training,415000.0
2015,Software Training,1090000.0
2016,Software Training,325000.0
2017,Software Training,1800000.0
2018,Software Training,480000.0
2019,Software Training,345000.0
2020,Software Training,1100000.0
2021,Software Training,2360000.0
2022,Software Training,150000.0
2023,Software Training,130000.0
2024,Software Training,510000.0
2025,Software Training,140000.0
1997,Sports,0.0
1998,Sports,0.0
1999,Sports,0.0
2000,Sports,0.0
2001,Sports,0.0
2002,Sports,0.0
2003,Sports,0.0
2004,Sports,0.0
2005,Sports,0.0
2006,Sports,0.0
2007,Sports,0.0
2008,Sports,95000.0
2009,Sports,375000.0
2010,Sports,1725000.0
2011,Sports,1070000.0
2012,Sports,630000.0
2013,Sports,8735000.0
2014,Sports,20180000.0
2015,Sports,30890000.0
2016,Sports,35890000.0
2017,Sports,70445000.0
2018,Sports,21365000.0
2019,Sports,24950000.0
2020,Sports,67585000.0
2021,Sports,49430000.0
2022,Sports,24260000.0
2023,Sports,23270000.0
2024,Sports,21770000.0
2025,Sports,8860000.0
1997,Strategy,0.0
1998,Strategy,0.0
1999,Strategy,0.0
2000,Strategy,0.0
2001,Strategy,150000.0
2002,Strategy,0.0
2003,Strategy,75000.0
2004,Strategy,0.0
2005,Strategy,85000.0
2006,Strategy,11965000.0
2007,Strategy,19520000.0
2008,Strategy,14035000.0
2009,Strategy,27985000.0
2010,Strategy,40970000.0
2011,Strategy,40125000.0
2012,Strategy,43670000.0
2013,Strategy,236335000.0
2014,Strategy,101945000.0
2015,Strategy,152035000.0
2016,Strategy,163360000.0
2017,Strategy,175290000.0
2018,Strategy,148435000.0
2019,Strategy,120500000.0
2020,Strategy,129285000.0
2021,Strategy,124780000.0
2022,Strategy,124040000.0
2023,Strategy,162460000.0
2024,Strategy,147485000.0
2025,Strategy,86220000.0
1997,Tutorial,0.0
1998,Tutorial,0.0
1999,Tutorial,0.0
2000,Tutorial,0.0
